Alternative,ShortName,Modeler,DateFinished,OutputFile
1,status-quo,"BM, CP",,
2,max-ds-even,,,
3,max-ds-even-nf,,,
4,max-ds-hist,,,
5,summer-fall-even,,,
6,summer-even,,,
7,summer-even-alt-smscg,,,
8,summer-fall-hist,,,
9,summer-hist,,,
10,june,,,
11,max-water,,,
12,max-water-no-smscg,,,
13,nf-aquatic-weed,,,
14,nf-wetland,,,
