"mean" "min" "max" "2.5%" "5%" "25%" "50%" "75%" "90%" "97.5%" "CV"
"1" 2.07606049760307 0.881765533111736 2.96311521252796 1.34809149772842 1.47447534819089 1.87983617993504 2.0781463829569 2.29761589314756 2.47337876343484 2.70277509789252 0.164533754519121
"2" 1.24425713266935 0.657445152158528 1.90172229393325 0.797295835062673 0.857270456063248 1.08688477225595 1.24065129581451 1.4033062972434 1.53525885708098 1.68178845240198 0.184730741959364
"3" 1.65064999149798 0.818107747105966 2.39765105227427 1.1605555929574 1.19008657118675 1.46600817722272 1.64084147788463 1.828294951536 2.02170689617716 2.19327323691085 0.169363041897714
"4" 2.32663255269025 1.19735715504008 3.34000901103852 1.71765573143147 1.87523263684254 2.11449335315501 2.3069331671263 2.543132481044 2.73234199042967 2.93697925254349 0.135033386135059
"5" 2.36117474838846 1.32030534351145 3.59453272796065 1.65129500710547 1.72060287702485 2.10947124767394 2.37807480352154 2.59597523499546 2.83941891849003 3.07197448009062 0.157019454291611
"6" 1.54979217468364 0.96513592946363 2.35562442183164 1.08680007617807 1.15463997504677 1.37657236835807 1.53816017206053 1.71889093342316 1.88477447916032 2.00843921301521 0.163588498178337
"7" 1.65937570684117 0.870805886475123 2.48002293577982 1.12428065966092 1.16723614324338 1.47167468836565 1.66778594153773 1.83874656403915 2.01463839297508 2.21605994974425 0.170117098995383
"8" 1.94284062515245 1.3129845814978 3.04195079912253 1.44056314580941 1.52960808615194 1.73702399106871 1.91672042683298 2.09805616112664 2.34659319014793 2.57993606217994 0.149758617551008
"9" 1.09648759778444 0.52863091037403 1.59861847613732 0.755155592798708 0.828757529172138 0.979675925317324 1.09655452258301 1.22029026792326 1.30798175112486 1.39975223754654 0.156229304362272
"10" 0.835303757304034 0.510335608646189 1.23791527313266 0.588950925704244 0.635025125387843 0.748229136616095 0.836294361261548 0.916686638099367 0.993287163908078 1.08623026914216 0.151632590504996
"11" 1.20350915815619 0.66104728657569 1.84072243346008 0.84794330871439 0.897183226886981 1.08302504720091 1.20678488542154 1.32051020248151 1.44947380689748 1.53928818386174 0.151308103785621
"12" 0.552862817816916 0.371503194287862 0.86791032826261 0.417694317053277 0.433365357412802 0.502537590657057 0.550126330993031 0.59964365890165 0.6551255642443 0.707893701479761 0.137629622298678
"13" 0.788574857696778 0.434275649493615 1.37751850024667 0.558048924562309 0.580316617566098 0.689088652135922 0.779846743295019 0.860757674324071 0.961588263056285 1.0956866700715 0.172308503516492
"14" 0.829172343571457 0.533869534305012 1.23003618817853 0.598387300882875 0.63197100807054 0.739009281082427 0.820005009984686 0.902441214016745 0.999782214557046 1.08982994693741 0.151473790744225
"15" 0.553625040716033 0.306259220231823 0.80337048424289 0.380462889273356 0.407125887540676 0.494250286056876 0.55090372617448 0.610768810376078 0.674088494205778 0.741076055583443 0.162524495860613
"16" 0.548142116749232 0.259335106382979 0.909939209726444 0.355797707675932 0.385741845928293 0.486656019879157 0.552536935633261 0.609182762152223 0.670174723561552 0.748443579765619 0.184390692428594
"17" 0.915768427808975 0.567792304818827 1.31687062937063 0.650834601923919 0.682723973608556 0.818125158750116 0.902084549642161 1.0110169019493 1.11427674795533 1.2233506743295 0.160591264357508
"18" 0.404785227340164 0.224946466809422 0.610507056978568 0.279566200307945 0.29704624262784 0.363271479340628 0.404317917135167 0.442920735986432 0.496457902737881 0.542339186146193 0.1619869259106
"19" 0.394032555001198 0.209698000850702 0.62262996941896 0.269898557648558 0.284596503255348 0.34390348137636 0.387397903595882 0.446642203282828 0.489872291643445 0.534219936856981 0.183536369108845
