Alternatives,MeanMinAbundance,MinAbundance_05,MaxAbundance_95,lambda
StatusQuo,163396.564398685,29979.45177003154,447297.37278205605,0.985157395710071
June,81969.22906651537,15185.973356725895,213093.6165722076,0.9469049289223
MaxWater,111061.62190516845,20856.958535349935,291957.0044767054,0.960571256901509
MaxWater_noSMSCG,95302.56678885996,15096.116728295572,266839.5581696905,0.948225266928193
MaxDS_Even,1626847.3800038272,453181.7656285186,2955966.2697453965,1.04458429926919
MaxDS_Hist,1584763.8516340978,423095.2051215486,3173395.557568847,1.03466879157691
SummerFall_Even,96007.38184406461,14003.14294218865,275797.86566287413,0.953879698055325
Summer_Even,192680.92688294002,27992.926457556838,576551.9879503029,0.966400794747424
Summer_Even_AltSMSCG,188238.60513731572,37895.141473914904,477747.88076157006,0.967343144744164
SummerFall_Hist,69929.20099691977,10647.658160676538,169821.33134036913,0.945440516957819
Summer_Hist,157975.58908334453,21569.556629998035,467885.74235904333,0.958756901658218
