mean,min,max,q0.025,q0.05,q0.25,q0.5,q0.75,q0.9,q0.975,year,alt
27114968.3813937,1950324.02132377,93321497.8013928,6772241.60742898,8439206.36558873,17037789.7948282,24365660.2569756,34372582.7957912,44455619.1842382,64011468.0084686,2000,Summer_Even_AltSMSCG
43696780.8314104,4737011.62732738,163172699.340963,9478971.48824286,13823300.0551269,26348434.6843643,38237081.8993763,54929731.3176705,75284342.6531578,114921001.221193,2001,Summer_Even_AltSMSCG
69970638.1304129,5767528.09936111,266400590.79397,14347365.7824046,20946641.6635032,40387423.1492848,60253442.5458535,91727818.3234698,120227454.343292,177107138.978629,2002,Summer_Even_AltSMSCG
127192483.182641,9596093.32069317,469545759.623555,29086082.7956812,40446832.4014263,71767220.3831493,112138279.633544,162568612.370839,227671183.828715,317290131.360979,2003,Summer_Even_AltSMSCG
107267347.222796,8531284.92683224,371287855.085229,22891582.9510354,32169457.9872155,58922840.8774224,93576706.5646786,138692745.370485,197906819.106734,282551857.223352,2004,Summer_Even_AltSMSCG
93578756.3311972,7171982.27516587,400887585.391915,19799356.1351898,25145586.1006752,51283114.3819302,79432330.1977642,117670716.666056,165943492.078604,268102257.203812,2005,Summer_Even_AltSMSCG
100659698.306057,5475951.07478649,544953692.953761,18796238.9299563,26515914.1375139,54567744.9047591,79983643.3224357,125667612.327033,178874800.95945,320285493.214792,2006,Summer_Even_AltSMSCG
45055134.8815512,2572445.90912202,252866008.369608,7822967.40239497,11495517.9075384,22959412.8295203,36879975.7084097,58534726.751292,83360212.5427642,140309143.186047,2007,Summer_Even_AltSMSCG
34911251.7834268,1889248.54251558,266504248.673759,6041683.33820316,8241349.7942975,17055893.2255112,28566376.3415063,45540636.5204378,68730538.1477078,96820906.5742439,2008,Summer_Even_AltSMSCG
31059477.5786232,1606146.05639618,228532513.396224,5276742.43733755,7303208.75629109,15040997.6075823,24593510.8150881,41614807.1806742,61280218.5811024,94250333.0744192,2009,Summer_Even_AltSMSCG
19263088.5423722,905050.994184195,167101332.016504,3176372.65886224,4481267.6243913,9165210.35629899,14621253.2422716,25471891.0032823,37119736.7543766,55837912.9722983,2010,Summer_Even_AltSMSCG
10345074.7087862,509487.916622701,92399609.8792591,1569212.68156118,2279337.02608382,4772169.05317793,7819848.78747936,13375501.6977458,20881788.467487,32656325.4272183,2011,Summer_Even_AltSMSCG
10148754.9904102,440834.419857792,86046642.6901698,1468172.92343992,2221949.22738707,4759647.06780824,7717836.1727489,12469655.9784377,21135574.4788361,31625208.3689617,2012,Summer_Even_AltSMSCG
4108088.33518222,164286.926154573,38858817.9699664,553545.867255722,845341.79669106,1941771.23237564,2984130.76619281,4931334.20850273,8311971.97320396,13498634.2118593,2013,Summer_Even_AltSMSCG
1622131.85640994,76728.4981274413,13326209.2443438,231639.243623632,331389.355864222,733668.743283006,1220984.97957967,1973204.55868042,3467428.1751281,4746121.26181494,2014,Summer_Even_AltSMSCG
6733960.28350598,1043192.29047502,20753453.534969,1998746.04172522,2267718.57371955,4362119.79017632,6459563.03639129,8546314.48012097,10904556.9838054,13513573.9275895,1996,SummerFall_Hist
5417350.53633758,470019.75271294,19074548.4103486,1327396.08851581,1672988.08519361,3374731.47218269,5090366.92291942,6824582.99523574,9048324.26860626,11810772.5131277,1997,SummerFall_Hist
6552346.65620395,537025.842305768,20616564.3169004,1435564.28760411,1850084.34959199,3999252.02335881,6055476.45932424,8651689.15978189,11105577.1346368,15445835.5168572,1998,SummerFall_Hist
14635251.8480817,1280072.62585594,49316737.8274897,2959765.81975367,4069632.66366502,8751340.0258061,13522946.5818333,18459716.1175825,25015386.8713547,35430089.9432478,1999,SummerFall_Hist
29507158.7061019,2970244.26085363,99322737.883238,5803048.75514724,7876062.91469343,17045713.926325,26655746.4682764,38059509.7102807,50871288.866965,71549390.7991068,2000,SummerFall_Hist
43420186.3220533,4723500.14114249,143584315.103999,8293928.52337556,12219138.3660296,23738831.1881293,39340211.8535489,55630873.8757605,77384808.2750379,109846122.228861,2001,SummerFall_Hist
69169562.5234403,6019095.23026412,231927819.313432,13992907.0946712,18036802.5908085,37567387.4827389,60447265.6055291,91033147.7723607,124087804.127749,183370045.814831,2002,SummerFall_Hist
125982131.052985,11568774.436168,480063177.078411,24378931.9843165,33797976.9439485,69885160.5583701,110380041.467612,164133371.65826,221564615.395737,318197569.141132,2003,SummerFall_Hist
111297643.055687,7131462.56570712,534712253.041932,21676067.6969514,26385285.5466106,58755553.1840687,94067982.961946,144424178.666767,206122914.373669,309664196.018665,2004,SummerFall_Hist
96328888.0831047,5949902.10628947,554590790.899896,17181877.0877859,21929190.4969733,50062374.8814339,82762368.6096241,121679738.692657,180625524.917604,243449331.40706,2005,SummerFall_Hist
106133392.327617,6229381.90497343,597795997.518723,18227529.3592202,22962086.5912781,50361901.6114125,90507325.4835131,136987078.288431,200052673.955126,292459953.032605,2006,SummerFall_Hist
40389383.6791765,2024608.33377325,228109629.911748,6515867.68044071,7842442.25281935,19651959.7885175,34627642.1771044,51364725.493019,73887187.1415949,115361156.052981,2007,SummerFall_Hist
32941313.645256,1006006.2440163,224412828.221991,4665601.23062242,6549764.40946471,15208908.6936867,26831987.3475274,43895064.553770296,60073136.3111811,95318160.1016693,2008,SummerFall_Hist
25646575.84899,850451.412875632,154866108.439311,3775900.75776033,5100532.83442013,11540896.3615506,21249822.3190943,33535254.4223817,48955733.873694,72323533.29102,2009,SummerFall_Hist
15938789.0974999,562226.958226113,105869788.423172,2422619.60265812,2836530.29589446,7068224.275615,13201834.8575153,20723256.240882,29450126.1749612,47052909.029115,2010,SummerFall_Hist
8524646.14341351,217596.614048823,49080791.2518464,1167975.2208248,1503040.59224471,3887171.10814186,6874836.54876959,11140597.574748,15705609.8267157,26275547.9221212,2011,SummerFall_Hist
8037086.77343044,169404.286626463,46565496.8603729,1015922.45452772,1396385.70607165,3566892.0209964,6354615.83567628,10471315.9896543,15366543.286009,24838796.4327982,2012,SummerFall_Hist
3590434.02702766,95851.0366358193,22332059.5536257,477023.752813421,600257.753675905,1581981.09850696,2798581.15508272,4753088.93529762,6479832.33816789,12495220.3681449,2013,SummerFall_Hist
1441524.26018829,55783.0317782247,9849462.66955046,180453.751241324,234526.254239419,621750.255866562,1165000.97407207,1863813.13720032,2721824.51082998,5118251.49803453,2014,SummerFall_Hist
6421616.9203396,1018555.09843158,19095315.6064059,1695423.49387296,2092486.1181719,3638155.39918342,5877286.70922669,8560593.32019673,11325622.7375074,14905035.8802798,1996,Summer_Hist
5118136.06876389,467478.219369916,17605986.3572069,1168581.47378549,1558116.70075235,2762899.03274075,4488062.40260062,6941885.53665968,9592570.20907699,12000581.278311,1997,Summer_Hist
7036071.99903631,652074.402660617,26885139.3544342,1330424.54884244,1765795.62376298,3738307.01209165,6159035.51257404,9250987.46748177,13386144.4455948,17094322.2393568,1998,Summer_Hist
16220858.0531572,1497776.77181414,61001488.0515051,2965294.29359607,3722001.28416566,8521712.28245105,13844146.6599861,22003407.3345183,31771034.3175964,38124959.4395845,1999,Summer_Hist
33009760.8154991,2493823.4592846,140863257.103825,6132954.96581355,8001799.59265183,16729337.3216077,28186781.6712712,43441773.4704768,62897538.0563253,84374877.5860229,2000,Summer_Hist
42803370.112084,3724758.45143608,209465097.036107,7685558.82281181,10730903.1241851,22164909.522554,35973074.9942552,55092290.1159313,79697344.3610091,129873815.594155,2001,Summer_Hist
68391312.212897,5597489.88831397,457407624.782889,10490668.9578233,15272468.3779771,33643019.9346066,54785867.6686316,90218007.6397144,118064725.528224,199145069.230227,2002,Summer_Hist
126174245.975878,6848407.19378935,688139811.808985,22486206.3218599,28017729.1855929,62030817.9638995,103392042.07308,172041013.787366,228622503.253582,369612135.235314,2003,Summer_Hist
112214854.57942,6999429.32521702,600037939.487271,18780613.9839105,23212795.9273576,54430083.4971733,92637756.8201942,148570084.605217,207090854.836796,318098546.513428,2004,Summer_Hist
101388569.007545,5804508.44520339,656538166.76011,16325402.5994762,21154990.3935164,48386107.3136296,83032216.8073367,131202018.174455,181956270.201372,317357721.248758,2005,Summer_Hist
110096689.020773,5005338.45944356,651639478.63417,14835739.5298755,21365270.6727679,52244486.8647269,86819785.7824189,149519251.988571,210164940.772096,340991083.155432,2006,Summer_Hist
52118495.3532708,2115888.23012942,276872827.343843,6981792.66813559,9188867.57739531,24539944.7799505,41468366.1185035,69333324.7171196,99719082.5452596,168453371.429583,2007,Summer_Hist
40969854.8062453,1727734.227285,211323343.574693,5087405.61942521,7042054.73894451,18320000.6365405,31890433.5523493,55378928.364183,81265281.6217685,125651274.406743,2008,Summer_Hist
32349451.3252034,1624459.19345702,168594573.264486,3787464.95831039,5340255.29267486,14377644.4848535,24693359.5949931,40967748.81649,64718417.4658525,108645114.610715,2009,Summer_Hist
20686604.1793353,991963.495607469,122439887.162665,2346124.31624458,3293122.52198737,8504001.37430961,15080963.1290437,25951128.2213914,44822683.000667,77062160.0432105,2010,Summer_Hist
11000554.5698158,378471.771143755,81878447.7347025,1284967.24861579,1493009.84340206,4545571.59250847,7797461.60782088,13504689.9375787,23738596.7597956,40699807.4424477,2011,Summer_Hist
10872011.2747078,319500.827482262,85668500.3742296,1205172.73186048,1599921.67220028,4313661.81998147,7421202.08337121,12899386.9040843,23152782.8365573,42269812.1594249,2012,Summer_Hist
4456244.15315185,119461.330585805,35322271.8632006,439230.552494345,598620.017351856,1705552.23684495,2961380.48873787,5405627.41111757,9466796.04541611,17468417.7313804,2013,Summer_Hist
1775863.44956638,55812.9556535532,13019395.8218505,159837.327736617,251712.710173678,638081.763130575,1174746.06706087,2155244.21956205,3833026.37275548,6968177.24730654,2014,Summer_Hist
