"scenario","year","1","2","3","4","5","6","7","8","9","10","11","12"
"MaxDS_Hist",2000,73.58771,53.781887,53.726192,63.721703,69.36938,62.821438,66.647644,76.69805,74.05696,73.98624,83.04529,88.234436
"MaxDS_Hist",2001,81.43499,66.77691,64.32374,73.258446,79.32453,82.166405,86.84703,91.14272,92.6446,92.788506,89.98815,69.241196
"MaxDS_Hist",2002,59.075294,64.9254,66.70788,74.722664,79.90042,82.16494,85.64644,89.632164,91.82067,92.38246,90.864784,63.984936
"MaxDS_Hist",2003,55.739006,62.32449,64.95866,60.955135,60.105705,61.095737,66.281906,76.514626,74.00932,74.00664,82.35256,71.87103
"MaxDS_Hist",2004,62.945995,55.213028,57.37204,69.15874,79.29133,83.02061,82.90572,87.3487,90.332726,88.924965,89.12839,79.2924
"MaxDS_Hist",2005,60.436855,61.887512,57.968903,63.427868,56.68633,62.957222,78.65587,86.13289,86.20597,87.55289,89.87412,57.088894
"MaxDS_Hist",2006,52.41923,55.107796,52.736336,52.18744,54.54322,59.965355,64.88111,73.391495,74.04138,73.91491,81.2756,81.66522
"MaxDS_Hist",2007,83.24943,69.97719,69.17097,76.246,79.63205,82.46875,86.85223,91.08023,92.006325,92.577805,92.623276,90.48238
"MaxDS_Hist",2008,70.51464,64.17468,70.90059,78.28313,82.80443,84.034195,87.78283,91.64534,92.84733,93.6653,93.6573,91.460945
"MaxDS_Hist",2009,88.73721,69.38687,61.98008,68.681854,76.134254,78.96414,83.59821,88.31878,91.55647,91.29919,92.19222,91.125885
"MaxDS_Hist",2010,67.81804,59.22994,64.425255,63.18201,65.942055,70.842255,81.52093,86.60728,87.56772,83.62738,82.84306,58.234863
"MaxDS_Hist",2011,60.349766,60.08003,52.826874,55.981907,57.693348,56.12067,63.629925,73.037,73.825806,73.94169,81.331535,86.84013
"MaxDS_Hist",2012,81.40601,77.32583,65.38275,62.76457,71.44864,80.96235,82.68934,86.556595,89.848946,91.867256,90.44965,58.76725
"MaxDS_Hist",2013,65.408424,67.95925,74.71165,79.36201,80.02459,82.24049,85.95391,90.35956,92.11298,92.1519,93.06528,90.49894
"MaxDS_Hist",2014,89.79467,80.22704,71.63615,77.336655,86.1674,90.330025,93.10541,93.421135,93.004036,93.975136,93.60992,66.08887
"StatusQuo",1995,53.90977,55.133667,51.522175,54.44234,53.793266,56.457302,64.798546,74.967674,78.54418,79.94681,85.65942,68.73472
"StatusQuo",1996,58.370777,52.49842,54.220383,58.75675,56.775585,68.65699,79.49673,83.50537,79.982185,80.085365,77.16325,54.211357
"StatusQuo",1997,49.135735,54.34369,62.31043,71.05335,77.301414,79.2054,79.58229,82.77642,79.94058,79.9467,82.61992,80.85848
"StatusQuo",1998,54.82476,49.88937,53.089336,55.957752,54.278522,54.012573,61.67529,69.233894,70.04102,71.79699,65.76979,62.195404
"StatusQuo",1999,59.937557,53.049934,54.58279,62.839645,64.550156,70.702095,78.81803,83.397415,79.94164,80.03598,84.275665,87.43817
"StatusQuo",2000,68.53763,53.17833,53.564552,63.450665,69.04032,78.40471,79.92193,83.23664,80.069466,80.021774,86.22282,87.68611
"StatusQuo",2001,81.58586,66.630905,64.26464,73.135,79.4057,82.252,86.86426,91.286766,92.14626,92.27406,89.73573,65.78667
"StatusQuo",2002,57.836685,64.68931,66.5542,74.77114,79.87951,82.10498,85.63739,89.61789,91.53972,92.14596,90.97542,63.15989
"StatusQuo",2003,55.637314,62.273018,64.90167,60.625668,60.02252,73.75761,79.23701,83.15498,79.99015,80.03789,84.739815,68.00566
"StatusQuo",2004,61.445065,54.156593,56.66673,69.03817,79.34137,83.079926,83.02639,87.47935,89.62398,88.70392,88.99966,78.554756
"StatusQuo",2005,60.24511,61.84768,57.76078,63.352043,56.800785,62.982273,78.61934,86.111374,85.91537,87.29332,89.787025,56.968327
"StatusQuo",2006,52.407494,55.100822,52.738842,52.183796,54.533516,62.8522,74.29852,81.58125,79.84318,79.94394,83.68062,81.291466
"StatusQuo",2007,82.94903,67.93424,68.276054,76.011604,79.65357,82.48832,86.83351,90.78396,90.64987,91.54293,91.11572,89.01182
"StatusQuo",2008,69.291275,64.1879,70.76195,78.27186,82.735466,84.0333,87.780464,91.54169,92.75366,93.9243,93.51658,91.77332
"StatusQuo",2009,88.27385,69.024704,62.424835,68.58115,75.92578,78.944855,83.59113,88.29998,91.554924,91.2656,92.16595,91.14442
"StatusQuo",2010,68.01275,59.247967,64.4094,63.180943,65.948395,70.87345,81.53047,86.68771,87.477684,83.744156,82.97515,58.30868
"StatusQuo",2011,60.358772,60.058353,52.827843,55.97472,57.673267,56.1048,65.11622,74.38675,77.17843,76.72696,82.937996,87.71366
"StatusQuo",2012,84.09862,81.89703,63.29126,62.153545,71.48058,81.07323,82.582436,86.512,89.72397,91.78211,89.81179,58.374973
"StatusQuo",2013,65.62852,67.975365,74.6242,79.14261,80.08551,82.26889,85.96629,90.37036,92.07274,91.357704,92.74351,90.50941
"StatusQuo",2014,89.40371,81.91769,72.57638,77.28095,86.156044,90.31914,93.09705,93.420685,93.02485,93.9939,92.773186,65.71017
