region,year,month,IBMR,sal_base_median,sal_base_l95,sal_base_u95,sal_AltStatusQuo_median,sal_AltStatusQuo_l95,sal_AltStatusQuo_u95
Confluence,1994,1,acartela,1,1,1,1.1028822184302518,0.5835918004111731,2.098122028702275
Confluence,1994,1,allcopnaup,1,1,1,0.5518490980306267,0.0030483495851827804,2.1386731427760086
Confluence,1994,1,daphnia,1,1,1,0.035461306816157556,0,0.2825655639148139
Confluence,1994,1,eurytem,1,1,1,1.5193156662496432,0.7401618637392761,3.1561769057389446
Confluence,1994,1,limno,1,1,1,1.6243017124532764,0.6989799693192436,3.904453795014467
Confluence,1994,1,mysid,1,1,1,1.0893450626049304,0.36797858604664535,2.6595338395992187
Confluence,1994,1,othcalad,1,1,1,11.009963250906633,4.707855901540915,27.954635723113988
Confluence,1994,1,othcaljuv,1,1,1,0.7925161260504576,0.4930638728756713,1.288342324272012
Confluence,1994,1,othclad,1,1,1,0.09014060463434687,0,0.24065045219385633
Confluence,1994,1,othcyc,1,1,1,0.5952513128594883,0.3351638237883703,1.057721223254149
Confluence,1994,1,other,1,1,1,1.0535704937552925,0.42764452237567735,2.604684887597546
Confluence,1994,1,pdiapfor,1,1,1,0.34469828578308276,0.17302728683351462,0.6810916584983898
Confluence,1994,2,acartela,1,1,1,1,1,1
Confluence,1994,2,allcopnaup,1,1,1,1,1,1
Confluence,1994,2,daphnia,1,1,1,1,1,1
Confluence,1994,2,eurytem,1,1,1,1,1,1
Confluence,1994,2,limno,1,1,1,1,1,1
Confluence,1994,2,mysid,1,1,1,1,1,1
Confluence,1994,2,othcalad,1,1,1,1,1,1
Confluence,1994,2,othcaljuv,1,1,1,1,1,1
Confluence,1994,2,othclad,1,1,1,1,1,1
Confluence,1994,2,othcyc,1,1,1,1,1,1
Confluence,1994,2,other,1,1,1,1,1,1
Confluence,1994,2,pdiapfor,1,1,1,1,1,1
Confluence,1994,3,acartela,1,1,1,7.643562864979177,6.226539570499847,9.622807759871039
Confluence,1994,3,allcopnaup,1,1,1,1.3353975028720801,0.9910784475697616,1.7754752430630605
Confluence,1994,3,daphnia,1,1,1,0.19923524269079262,0.15930799760609468,0.25554102636461234
Confluence,1994,3,eurytem,1,1,1,3.9110909065800454,3.1662018820971967,4.794772100195175
Confluence,1994,3,limno,1,1,1,8.831418674622865,6.16233696903592,12.420351065809381
Confluence,1994,3,mysid,1,1,1,13.906444658428864,9.2343366305042,21.46638693018094
Confluence,1994,3,othcalad,1,1,1,0.7764513518392157,0.592421257338601,0.9684519882701849
Confluence,1994,3,othcaljuv,1,1,1,2.724355930093523,2.363425608270607,3.125044588638959
Confluence,1994,3,othclad,1,1,1,0.19347051758582368,0.16013728354801904,0.23132367913333243
Confluence,1994,3,othcyc,1,1,1,1.028717562092922,0.8269933731890956,1.2843441552030386
Confluence,1994,3,other,1,1,1,0.6334237553964533,0.4529474584406564,0.8814182790622266
Confluence,1994,3,pdiapfor,1,1,1,2.3025688211216346,1.8843962397276854,2.7984713362967866
Confluence,1994,4,acartela,1,1,1,2.3294037342595026,1.7049898958252099,3.20049100230234
Confluence,1994,4,allcopnaup,1,1,1,0.9628917984744265,0.7200859008942471,1.2631739017354058
Confluence,1994,4,daphnia,1,1,1,0.7683230360421247,0.5218413679618016,1.1360126401299329
Confluence,1994,4,eurytem,1,1,1,0.8854045637602754,0.6170304237223034,1.2330359667561668
Confluence,1994,4,limno,1,1,1,2.9773955572815196,1.6444275827710493,5.33631740031031
Confluence,1994,4,mysid,1,1,1,1.501909125715403,0.7499064737973391,3.164738391250729
Confluence,1994,4,othcalad,1,1,1,0.3810152559933099,0.25282733140089836,0.5642384987757304
Confluence,1994,4,othcaljuv,1,1,1,1.0580034499029864,0.8417157423784452,1.3129270044854666
Confluence,1994,4,othclad,1,1,1,0.6385670995992218,0.47062141340746116,0.8321655465615004
Confluence,1994,4,othcyc,1,1,1,1.149233878240241,0.9469229382562412,1.4381024978933314
Confluence,1994,4,other,1,1,1,2.186221258105724,1.2153673290261724,3.723651660386176
Confluence,1994,4,pdiapfor,1,1,1,1.3851738138292182,1.1022830178928587,1.7515489570744607
Confluence,1994,5,acartela,1,1,1,2.8666945907348538,1.9816456603521542,4.125017497618683
Confluence,1994,5,allcopnaup,1,1,1,0.3885857446525044,0.25176858797595214,0.6187659172260419
Confluence,1994,5,daphnia,1,1,1,0.4540778478952242,0.2799765719723137,0.7042175563417149
Confluence,1994,5,eurytem,1,1,1,0.7462218094738743,0.5038914382477114,1.0671052390414726
Confluence,1994,5,limno,1,1,1,5.2126369851264736,2.40008828894077,10.488837086223086
Confluence,1994,5,mysid,1,1,1,1.06310697557676,0.4151426708274837,2.8161834958464116
Confluence,1994,5,othcalad,1,1,1,0.1296947183899112,0.08604970970810703,0.20337145677609883
Confluence,1994,5,othcaljuv,1,1,1,0.43061832398014777,0.33811078333776995,0.5498943872762124
