"Date","Shasta_storage","Oroville_storage","Folsom_storage","WY_type_SAC","RockSlough_chloride","JerseyPoint_EC","SWP_DeltaExport","CVP_DeltaExport","scenario","year","month"
1922-05-31,4552.1,3425.19995117188,967,2,28.6729575,232.1971,3021.74948978849,4532.62423468273,"StatusQuo",1922,5
1922-06-30,4281.97611222152,3425.19995117187,967,2,21.8000205,214.04214,4189.47319345806,4591.63302467407,"StatusQuo",1922,6
1922-07-31,3833.07076837509,2934.22018448988,906.968276235783,2,18.7638705,201.81924,6446.58553639501,3145.36966283519,"StatusQuo",1922,7
1922-08-31,3552.89205118759,2439.16313164872,792,2,19.4915385,259.44318,6878.86831140095,3604.78183096929,"StatusQuo",1922,8
1922-09-30,3395.68775907561,2225.33769150682,712.612876926158,2,27.5584305,703.17816,2453.56917509947,1431.75110341063,"StatusQuo",1922,9
1922-10-31,3237.93639557749,2035.47039074135,683.047349385968,2,33.5247334,393.90652,3461.884806986,4401.9507361289,"StatusQuo",1922,10
1922-11-30,3225.49527010589,2014.14727012795,567,2,20.9648025,276.63248,6680,4598.6391064493,"StatusQuo",1922,11
1922-12-31,3357.11853448313,2291.20682566485,567,2,30.743236,565.2174,3672.68940514409,4598.607950957,"StatusQuo",1922,12
1923-01-31,3628.90530424023,2416.20789697195,566.999999999999,2,51.5174389,422.99786,2755.13473841007,4130.90395956788,"StatusQuo",1923,1
1923-02-28,3786.90400573137,2495.87819462778,567,2,29.0536695,227.34586,2965.76026806216,4023.10505280339,"StatusQuo",1923,2
1923-03-31,3906.19243184466,2722.05799300146,673.122461340675,3,31.2690268,234.63152,2279.94224347074,3417.18851897179,"StatusQuo",1923,3
1923-04-30,4234.11071685881,3046.55956777354,900,4,30.9665905,246.15216,2522.69637507992,3445.82759835836,"StatusQuo",1923,4
1923-05-31,4093.92302506274,3129.83482380513,967,3,32.7614236,242.71512,2623.22274439004,3931.77548669014,"StatusQuo",1923,5
1923-06-30,3839.01568795985,3094.23845982042,967,3,28.13589,222.12314,1680.44718855611,3352.75544035444,"StatusQuo",1923,6
1923-07-31,3397.60273890195,2466.5989420947,736.314340110342,3,27.281337,262.6224,6789.49188823818,3006.71129668466,"StatusQuo",1923,7
1923-08-31,3168.86603667563,1976.63632609618,648.246706871221,3,28.967724,702.6464,6446.2535023821,2965.47687689086,"StatusQuo",1923,8
1923-09-30,3085.53004751936,1966.47024587046,629.521626230182,3,77.18254675,1225.3656,3855.27740003791,4596.97579210957,"StatusQuo",1923,9
1923-10-31,2973.85049451409,1835.95637911777,529.970421352436,3,140.4901981,1674.8589,3216.704609255,5602.56834978241,"StatusQuo",1923,10
1923-11-30,2803.74295146093,1732.10178180977,454.659857076186,3,128.5529161,1498.1608,1804.28173206799,4228.64326031058,"StatusQuo",1923,11
