"","Scenario","Export_SWP","Export_CVP","Withdraw_SWP","Withdraw_CVP"
"1","June",6.26941317289205e-15,1.04059614462971,11.4915691699982,19.6254206698075
"2","MaxDS_Even",432.811128166757,302.207444407355,639.15404843021,1829.48439303064
"3","MaxDS_Hist",351.858704185858,248.929988301161,687.58460719504,1484.43283581614
"4","MaxWater",0,3.95962937235287e-15,0,4.20956357318732
"5","MaxWater_noSMSCG",0,4.3845935012802e-14,0,10.647673874173
"6","StatusQuo",123.689887935173,59.2960512288141,279.276409781479,86.8408955998121
"7","SummerFall_Even",174.266976609765,108.555276246583,333.840145427588,378.193710481112
"8","SummerFall_Hist",150.601725871202,82.3868294625051,319.973700967835,256.958599845796
"9","Summer_Even",3.95962937235287e-15,1.04135211637548,193.175793338962,270.479342414064
"10","Summer_Even_AltSMSCG",5.60947494416657e-15,1.04149157282205,193.544688673252,273.585965163074
"11","Summer_Hist",7.25932051598026e-15,6.28424839017453,121.977662864685,198.981387430384
