"","scenario","CVP_DeltaExport_TAF","SWP_DeltaExport_TAF"
"1","June",2300.66229750815,3114.29629690189
"2","MaxDS_Even",2121.40290480915,2649.27834608329
"3","MaxDS_Hist",2137.54091160967,2676.08911653784
"4","MaxWater",2299.54869723905,3116.17743477997
"5","MaxWater_noSMSCG",2299.02139893605,3115.91501445006
"6","StatusQuo",2278.03979908785,3012.6664347005
"7","SummerFall_Even",2255.18390175016,2936.00500883784
"8","SummerFall_Hist",2264.28345476994,2945.69866539829
"9","Summer_Even",2299.4025804049,3072.87073320379
"10","Summer_Even_AltSMSCG",2299.4025804049,3072.87073320379
"11","Summer_Hist",2303.23177001534,3081.74364651013
