"","scenario","CVP_DeltaExport_TAF","SWP_DeltaExport_TAF"
"1","June",2296.19798913998,2872.56126838359
"2","MaxDS_Even",2091.69284839339,2373.15849660785
"3","MaxDS_Hist",2070.35147528781,2410.30830422789
"4","MaxWater",2295.81322082474,2880.9844414611
"5","MaxWater_noSMSCG",2290.82666430944,2881.79717191582
"6","StatusQuo",2239.58297762278,2774.91703467364
"7","SummerFall_Even",2211.36460874616,2716.2753898379
"8","SummerFall_Hist",2208.8720681054,2709.14845159669
"9","Summer_Even",2275.1400965752,2864.41593508912
"10","Summer_Even_AltSMSCG",2275.1400965752,2864.41593508912
"11","Summer_Hist",2275.7057073963,2845.66625144061
