"Date","SAC_Keswick_CFS","scenario","year","month","WY_type"
1940-09-30,8189.41736186623,"MaxDS_Even",1940,9,"Above Normal"
1940-10-31,11768.535863804,"MaxDS_Even",1940,10,"Above Normal"
1940-11-30,5429.67315556903,"MaxDS_Even",1940,11,"Above Normal"
1953-04-30,5770.8333335,"MaxDS_Even",1953,4,"Above Normal"
1953-05-31,5961.35589386547,"MaxDS_Even",1953,5,"Above Normal"
1953-06-30,12990.6877847132,"MaxDS_Even",1953,6,"Above Normal"
1953-07-31,21609.4596991549,"MaxDS_Even",1953,7,"Above Normal"
1953-08-31,20898.9290015418,"MaxDS_Even",1953,8,"Above Normal"
1953-09-30,8417.94690612077,"MaxDS_Even",1953,9,"Above Normal"
1953-10-31,11769.2852830963,"MaxDS_Even",1953,10,"Above Normal"
1953-11-30,5256.41060117089,"MaxDS_Even",1953,11,"Above Normal"
1954-04-30,9288.58040674323,"MaxDS_Even",1954,4,"Above Normal"
1954-05-31,7898.08980228583,"MaxDS_Even",1954,5,"Above Normal"
1954-06-30,16044.6016322528,"MaxDS_Even",1954,6,"Above Normal"
1954-07-31,26663.6007362522,"MaxDS_Even",1954,7,"Above Normal"
1954-08-31,18921.6402209563,"MaxDS_Even",1954,8,"Above Normal"
1954-09-30,7506.90480862579,"MaxDS_Even",1954,9,"Above Normal"
1954-10-31,13297.1177511075,"MaxDS_Even",1954,10,"Above Normal"
1954-11-30,4129.06939219237,"MaxDS_Even",1954,11,"Above Normal"
1973-04-30,3179.68549870994,"MaxDS_Even",1973,4,"Above Normal"
1973-05-31,7956.26163104183,"MaxDS_Even",1973,5,"Above Normal"
1973-06-30,16000,"MaxDS_Even",1973,6,"Above Normal"
1973-07-31,23458.9403278413,"MaxDS_Even",1973,7,"Above Normal"
1973-08-31,17709.0481250219,"MaxDS_Even",1973,8,"Above Normal"
1973-09-30,7318.15749068978,"MaxDS_Even",1973,9,"Above Normal"
1973-10-31,7809.26909501384,"MaxDS_Even",1973,10,"Above Normal"
1973-11-30,3250,"MaxDS_Even",1973,11,"Above Normal"
1975-04-30,3158.27598759424,"MaxDS_Even",1975,4,"Above Normal"
1975-05-31,8746.63499990817,"MaxDS_Even",1975,5,"Above Normal"
1975-06-30,15192.6198317382,"MaxDS_Even",1975,6,"Above Normal"
1975-07-31,21312.3141713758,"MaxDS_Even",1975,7,"Above Normal"
1975-08-31,18424.5493720123,"MaxDS_Even",1975,8,"Above Normal"
1975-09-30,8290.00023164147,"MaxDS_Even",1975,9,"Above Normal"
1975-10-31,5103.17903317427,"MaxDS_Even",1975,10,"Above Normal"
1975-11-30,5377.5388756702,"MaxDS_Even",1975,11,"Above Normal"
1978-04-30,3568.51858197594,"MaxDS_Even",1978,4,"Above Normal"
1978-05-31,6467.58813364932,"MaxDS_Even",1978,5,"Above Normal"
1978-06-30,15595.633533694,"MaxDS_Even",1978,6,"Above Normal"
1978-07-31,22871.3904032439,"MaxDS_Even",1978,7,"Above Normal"
1978-08-31,16668.8654684372,"MaxDS_Even",1978,8,"Above Normal"
1978-09-30,5920.22820194606,"MaxDS_Even",1978,9,"Above Normal"
1978-10-31,13665.2182678243,"MaxDS_Even",1978,10,"Above Normal"
1978-11-30,7950.80420418687,"MaxDS_Even",1978,11,"Above Normal"
1980-04-30,5284.2484670578,"MaxDS_Even",1980,4,"Above Normal"
1980-05-31,6707.3607902997,"MaxDS_Even",1980,5,"Above Normal"
1980-06-30,12999.2664263174,"MaxDS_Even",1980,6,"Above Normal"
1980-07-31,21003.1343875503,"MaxDS_Even",1980,7,"Above Normal"
1980-08-31,16000,"MaxDS_Even",1980,8,"Above Normal"
1980-09-30,8437.84763258377,"MaxDS_Even",1980,9,"Above Normal"
1980-10-31,13159.5611060754,"MaxDS_Even",1980,10,"Above Normal"
1980-11-30,5211.22183937878,"MaxDS_Even",1980,11,"Above Normal"
1993-04-30,3181.39177809183,"MaxDS_Even",1993,4,"Above Normal"
1993-05-31,5048.00898926862,"MaxDS_Even",1993,5,"Above Normal"
1993-06-30,11261.8242709025,"MaxDS_Even",1993,6,"Above Normal"
1993-07-31,22268.4823355182,"MaxDS_Even",1993,7,"Above Normal"
1993-08-31,18963.9221778805,"MaxDS_Even",1993,8,"Above Normal"
1993-09-30,9175.92183745522,"MaxDS_Even",1993,9,"Above Normal"
1993-10-31,11287.5738926964,"MaxDS_Even",1993,10,"Above Normal"
1993-11-30,6659.38407312992,"MaxDS_Even",1993,11,"Above Normal"
2000-04-30,3236.82392004977,"MaxDS_Even",2000,4,"Above Normal"
2000-05-31,6485.00180485503,"MaxDS_Even",2000,5,"Above Normal"
2000-06-30,16000,"MaxDS_Even",2000,6,"Above Normal"
2000-07-31,23503.215228237,"MaxDS_Even",2000,7,"Above Normal"
2000-08-31,17166.6894853931,"MaxDS_Even",2000,8,"Above Normal"
2000-09-30,7498.67885318561,"MaxDS_Even",2000,9,"Above Normal"
2000-10-31,7505.7720217788,"MaxDS_Even",2000,10,"Above Normal"
2000-11-30,6026.61226632966,"MaxDS_Even",2000,11,"Above Normal"
2003-04-30,9675.16653273912,"MaxDS_Even",2003,4,"Above Normal"
2003-05-31,12441.4889254323,"MaxDS_Even",2003,5,"Above Normal"
2003-06-30,16000,"MaxDS_Even",2003,6,"Above Normal"
2003-07-31,23142.5254864896,"MaxDS_Even",2003,7,"Above Normal"
2003-08-31,16000,"MaxDS_Even",2003,8,"Above Normal"
2003-09-30,8175.97599535236,"MaxDS_Even",2003,9,"Above Normal"
2003-10-31,13412.474061932,"MaxDS_Even",2003,10,"Above Normal"
2003-11-30,6074.72529563989,"MaxDS_Even",2003,11,"Above Normal"
1922-04-30,5770.8333335,"MaxDS_Hist",1922,4,"Above Normal"
1922-05-31,9044.55219429349,"MaxDS_Hist",1922,5,"Above Normal"
1922-06-30,16815.5553028341,"MaxDS_Hist",1922,6,"Above Normal"
1922-07-31,24189.6484747035,"MaxDS_Hist",1922,7,"Above Normal"
1922-08-31,12599.9586148638,"MaxDS_Hist",1922,8,"Above Normal"
1922-09-30,9283.41865351055,"MaxDS_Hist",1922,9,"Above Normal"
1922-10-31,8727.05324837162,"MaxDS_Hist",1922,10,"Above Normal"
1922-11-30,4728.15479812708,"MaxDS_Hist",1922,11,"Above Normal"
1928-04-30,3250,"MaxDS_Hist",1928,4,"Above Normal"
1928-05-31,10494.3243807375,"MaxDS_Hist",1928,5,"Above Normal"
1928-06-30,16000,"MaxDS_Hist",1928,6,"Above Normal"
1928-07-31,22915.1986230566,"MaxDS_Hist",1928,7,"Above Normal"
1928-08-31,16000,"MaxDS_Hist",1928,8,"Above Normal"
1928-09-30,12007.4801281491,"MaxDS_Hist",1928,9,"Above Normal"
1928-10-31,10557.9415800848,"MaxDS_Hist",1928,10,"Above Normal"
1928-11-30,5036.33953847568,"MaxDS_Hist",1928,11,"Above Normal"
1940-04-30,3128.03624737326,"MaxDS_Hist",1940,4,"Above Normal"
1940-05-31,8794.76048405749,"MaxDS_Hist",1940,5,"Above Normal"
1940-06-30,20721.4086075255,"MaxDS_Hist",1940,6,"Above Normal"
1940-07-31,24048.340504141,"MaxDS_Hist",1940,7,"Above Normal"
1940-08-31,16000,"MaxDS_Hist",1940,8,"Above Normal"
1940-09-30,12408.4635852693,"MaxDS_Hist",1940,9,"Above Normal"
1940-10-31,9981.07787580988,"MaxDS_Hist",1940,10,"Above Normal"
1940-11-30,5435.81387427883,"MaxDS_Hist",1940,11,"Above Normal"
1953-04-30,5770.8333335,"MaxDS_Hist",1953,4,"Above Normal"
1953-05-31,5961.35111144989,"MaxDS_Hist",1953,5,"Above Normal"
1953-06-30,16642.4384802268,"MaxDS_Hist",1953,6,"Above Normal"
1953-07-31,23509.5742255676,"MaxDS_Hist",1953,7,"Above Normal"
1953-08-31,14964.2890258001,"MaxDS_Hist",1953,8,"Above Normal"
1953-09-30,11812.7684040639,"MaxDS_Hist",1953,9,"Above Normal"
1953-10-31,10196.1197686814,"MaxDS_Hist",1953,10,"Above Normal"
1953-11-30,5261.22244246103,"MaxDS_Hist",1953,11,"Above Normal"
1954-04-30,9288.58040674321,"MaxDS_Hist",1954,4,"Above Normal"
1954-05-31,7905.81572226667,"MaxDS_Hist",1954,5,"Above Normal"
1954-06-30,22390.6185461287,"MaxDS_Hist",1954,6,"Above Normal"
1954-07-31,24320.8828810805,"MaxDS_Hist",1954,7,"Above Normal"
1954-08-31,16000,"MaxDS_Hist",1954,8,"Above Normal"
1954-09-30,11155.0153906031,"MaxDS_Hist",1954,9,"Above Normal"
1954-10-31,11680.1313038702,"MaxDS_Hist",1954,10,"Above Normal"
1954-11-30,4252.35729123021,"MaxDS_Hist",1954,11,"Above Normal"
1973-04-30,3179.68567676609,"MaxDS_Hist",1973,4,"Above Normal"
1973-05-31,7973.19989698128,"MaxDS_Hist",1973,5,"Above Normal"
1973-06-30,21990.7224056655,"MaxDS_Hist",1973,6,"Above Normal"
1973-07-31,23258.7053835177,"MaxDS_Hist",1973,7,"Above Normal"
1973-08-31,15210.5352873755,"MaxDS_Hist",1973,8,"Above Normal"
1973-09-30,10711.8016200128,"MaxDS_Hist",1973,9,"Above Normal"
1973-10-31,7242.30752640751,"MaxDS_Hist",1973,10,"Above Normal"
1973-11-30,3250,"MaxDS_Hist",1973,11,"Above Normal"
1975-04-30,3158.27603343826,"MaxDS_Hist",1975,4,"Above Normal"
1975-05-31,8708.73625827695,"MaxDS_Hist",1975,5,"Above Normal"
1975-06-30,18859.0070374598,"MaxDS_Hist",1975,6,"Above Normal"
1975-07-31,22195.1894735226,"MaxDS_Hist",1975,7,"Above Normal"
1975-08-31,13687.1032008185,"MaxDS_Hist",1975,8,"Above Normal"
1975-09-30,11582.0360892768,"MaxDS_Hist",1975,9,"Above Normal"
1975-10-31,4101.90877398963,"MaxDS_Hist",1975,10,"Above Normal"
1975-11-30,5373.58009615945,"MaxDS_Hist",1975,11,"Above Normal"
1978-04-30,3568.51858197596,"MaxDS_Hist",1978,4,"Above Normal"
1978-05-31,6467.58813364932,"MaxDS_Hist",1978,5,"Above Normal"
1978-06-30,21262.699061791,"MaxDS_Hist",1978,6,"Above Normal"
1978-07-31,21642.6982276679,"MaxDS_Hist",1978,7,"Above Normal"
1978-08-31,16000,"MaxDS_Hist",1978,8,"Above Normal"
1978-09-30,8363.79933099407,"MaxDS_Hist",1978,9,"Above Normal"
1978-10-31,11967.8819302206,"MaxDS_Hist",1978,10,"Above Normal"
1978-11-30,7441.35785715595,"MaxDS_Hist",1978,11,"Above Normal"
1980-04-30,5284.2484670578,"MaxDS_Hist",1980,4,"Above Normal"
1980-05-31,6763.58060071114,"MaxDS_Hist",1980,5,"Above Normal"
1980-06-30,17222.2760364886,"MaxDS_Hist",1980,6,"Above Normal"
1980-07-31,22383.1717178444,"MaxDS_Hist",1980,7,"Above Normal"
1980-08-31,14311.8907641466,"MaxDS_Hist",1980,8,"Above Normal"
1980-09-30,12061.9153127995,"MaxDS_Hist",1980,9,"Above Normal"
1980-10-31,11480.7809795639,"MaxDS_Hist",1980,10,"Above Normal"
1980-11-30,5198.24217357517,"MaxDS_Hist",1980,11,"Above Normal"
1993-04-30,3181.67105544873,"MaxDS_Hist",1993,4,"Above Normal"
1993-05-31,5041.59981842305,"MaxDS_Hist",1993,5,"Above Normal"
1993-06-30,17397.61856032,"MaxDS_Hist",1993,6,"Above Normal"
1993-07-31,22265.0607465982,"MaxDS_Hist",1993,7,"Above Normal"
1993-08-31,12493.9784650625,"MaxDS_Hist",1993,8,"Above Normal"
1993-09-30,12144.8019362295,"MaxDS_Hist",1993,9,"Above Normal"
1993-10-31,9543.66436711992,"MaxDS_Hist",1993,10,"Above Normal"
1993-11-30,6359.51986898992,"MaxDS_Hist",1993,11,"Above Normal"
2000-04-30,3236.82392004977,"MaxDS_Hist",2000,4,"Above Normal"
2000-05-31,6493.38963481694,"MaxDS_Hist",2000,5,"Above Normal"
2000-06-30,21545.5575521837,"MaxDS_Hist",2000,6,"Above Normal"
2000-07-31,23596.7924414945,"MaxDS_Hist",2000,7,"Above Normal"
2000-08-31,15212.7963902998,"MaxDS_Hist",2000,8,"Above Normal"
2000-09-30,11100.3501736555,"MaxDS_Hist",2000,9,"Above Normal"
2000-10-31,6038.22664368314,"MaxDS_Hist",2000,10,"Above Normal"
2000-11-30,5488.7287341895,"MaxDS_Hist",2000,11,"Above Normal"
2003-04-30,9434.61142834434,"MaxDS_Hist",2003,4,"Above Normal"
2003-05-31,12459.3613529391,"MaxDS_Hist",2003,5,"Above Normal"
2003-06-30,20227.6311812537,"MaxDS_Hist",2003,6,"Above Normal"
2003-07-31,24317.0364955381,"MaxDS_Hist",2003,7,"Above Normal"
2003-08-31,14694.0481058676,"MaxDS_Hist",2003,8,"Above Normal"
2003-09-30,10644.0112750266,"MaxDS_Hist",2003,9,"Above Normal"
2003-10-31,11774.4010729578,"MaxDS_Hist",2003,10,"Above Normal"
2003-11-30,5940.18559346085,"MaxDS_Hist",2003,11,"Above Normal"
1922-04-30,7410.70502041025,"MaxWater",1922,4,"Above Normal"
1922-05-31,8770.81706318868,"MaxWater",1922,5,"Above Normal"
1922-06-30,10557.3927104202,"MaxWater",1922,6,"Above Normal"
1922-07-31,12795.9891083713,"MaxWater",1922,7,"Above Normal"
1922-08-31,9176.43398883929,"MaxWater",1922,8,"Above Normal"
1922-09-30,7208.80875963201,"MaxWater",1922,9,"Above Normal"
1922-10-31,6604.394708462,"MaxWater",1922,10,"Above Normal"
1922-11-30,4109.02645776478,"MaxWater",1922,11,"Above Normal"
1928-04-30,5876.8066943402,"MaxWater",1928,4,"Above Normal"
1928-05-31,11167.2416961386,"MaxWater",1928,5,"Above Normal"
1928-06-30,11899.6044271216,"MaxWater",1928,6,"Above Normal"
1928-07-31,16610.9904420495,"MaxWater",1928,7,"Above Normal"
1928-08-31,11832.2373428746,"MaxWater",1928,8,"Above Normal"
1928-09-30,6353.49451728524,"MaxWater",1928,9,"Above Normal"
1928-10-31,5568.37494358825,"MaxWater",1928,10,"Above Normal"
1928-11-30,5490.85638477068,"MaxWater",1928,11,"Above Normal"
1940-04-30,3089.75312533922,"MaxWater",1940,4,"Above Normal"
1940-05-31,8654.36583940893,"MaxWater",1940,5,"Above Normal"
1940-06-30,11616.7015843091,"MaxWater",1940,6,"Above Normal"
1940-07-31,16000,"MaxWater",1940,7,"Above Normal"
1940-08-31,12068.2259117879,"MaxWater",1940,8,"Above Normal"
1940-09-30,6179.87527579636,"MaxWater",1940,9,"Above Normal"
1940-10-31,4818.91477294189,"MaxWater",1940,10,"Above Normal"
1940-11-30,6099.64188980841,"MaxWater",1940,11,"Above Normal"
1953-04-30,5770.8333335,"MaxWater",1953,4,"Above Normal"
1953-05-31,5960.86874034933,"MaxWater",1953,5,"Above Normal"
1953-06-30,8337.11312316617,"MaxWater",1953,6,"Above Normal"
1953-07-31,15847.3033033818,"MaxWater",1953,7,"Above Normal"
1953-08-31,9431.6257370092,"MaxWater",1953,8,"Above Normal"
1953-09-30,6811.85374659122,"MaxWater",1953,9,"Above Normal"
1953-10-31,8341.03712214083,"MaxWater",1953,10,"Above Normal"
1953-11-30,6769.17938445668,"MaxWater",1953,11,"Above Normal"
1954-04-30,9554.52752657411,"MaxWater",1954,4,"Above Normal"
1954-05-31,7875.20894632923,"MaxWater",1954,5,"Above Normal"
1954-06-30,11916.8393286313,"MaxWater",1954,6,"Above Normal"
1954-07-31,17018.8155890456,"MaxWater",1954,7,"Above Normal"
1954-08-31,11336.9970283474,"MaxWater",1954,8,"Above Normal"
1954-09-30,5991.44759296111,"MaxWater",1954,9,"Above Normal"
1954-10-31,5804.19795177538,"MaxWater",1954,10,"Above Normal"
1954-11-30,4154.41682731274,"MaxWater",1954,11,"Above Normal"
1973-04-30,3179.6798654686,"MaxWater",1973,4,"Above Normal"
1973-05-31,7913.43503746816,"MaxWater",1973,5,"Above Normal"
1973-06-30,11198.8416374403,"MaxWater",1973,6,"Above Normal"
1973-07-31,16000,"MaxWater",1973,7,"Above Normal"
1973-08-31,11357.1626994216,"MaxWater",1973,8,"Above Normal"
1973-09-30,5238.16078791175,"MaxWater",1973,9,"Above Normal"
1973-10-31,5363.00269817488,"MaxWater",1973,10,"Above Normal"
1973-11-30,23126.9567055763,"MaxWater",1973,11,"Above Normal"
1975-04-30,3250,"MaxWater",1975,4,"Above Normal"
1975-05-31,9231.91571339524,"MaxWater",1975,5,"Above Normal"
1975-06-30,8618.68305392507,"MaxWater",1975,6,"Above Normal"
1975-07-31,14875.3716946687,"MaxWater",1975,7,"Above Normal"
1975-08-31,9102.86056598268,"MaxWater",1975,8,"Above Normal"
1975-09-30,6652.10101931196,"MaxWater",1975,9,"Above Normal"
1975-10-31,9274.52741365164,"MaxWater",1975,10,"Above Normal"
1975-11-30,5707.04688271807,"MaxWater",1975,11,"Above Normal"
1978-04-30,3568.51858197596,"MaxWater",1978,4,"Above Normal"
1978-05-31,6467.58813364932,"MaxWater",1978,5,"Above Normal"
1978-06-30,8525.88501021313,"MaxWater",1978,6,"Above Normal"
1978-07-31,16000,"MaxWater",1978,7,"Above Normal"
1978-08-31,8750.45149914783,"MaxWater",1978,8,"Above Normal"
1978-09-30,5767.96694025911,"MaxWater",1978,9,"Above Normal"
1978-10-31,8726.92377050466,"MaxWater",1978,10,"Above Normal"
1978-11-30,7594.09099418395,"MaxWater",1978,11,"Above Normal"
1980-04-30,5284.24846705777,"MaxWater",1980,4,"Above Normal"
1980-05-31,6659.93095839102,"MaxWater",1980,5,"Above Normal"
1980-06-30,8595.91152435949,"MaxWater",1980,6,"Above Normal"
1980-07-31,11024.9047924518,"MaxWater",1980,7,"Above Normal"
1980-08-31,9440.4826745412,"MaxWater",1980,8,"Above Normal"
1980-09-30,6775.73073173719,"MaxWater",1980,9,"Above Normal"
1980-10-31,7118.22092008496,"MaxWater",1980,10,"Above Normal"
1980-11-30,10704.7972745735,"MaxWater",1980,11,"Above Normal"
1993-04-30,3181.74468386168,"MaxWater",1993,4,"Above Normal"
1993-05-31,5048.37465005037,"MaxWater",1993,5,"Above Normal"
1993-06-30,8688.2225420395,"MaxWater",1993,6,"Above Normal"
1993-07-31,14165.2868045085,"MaxWater",1993,7,"Above Normal"
1993-08-31,8472.3090942177,"MaxWater",1993,8,"Above Normal"
1993-09-30,7229.02666674922,"MaxWater",1993,9,"Above Normal"
1993-10-31,6994.87901079271,"MaxWater",1993,10,"Above Normal"
1993-11-30,6356.72890801892,"MaxWater",1993,11,"Above Normal"
2000-04-30,3250,"MaxWater",2000,4,"Above Normal"
2000-05-31,6333.2019291046,"MaxWater",2000,5,"Above Normal"
2000-06-30,10389.9009967324,"MaxWater",2000,6,"Above Normal"
2000-07-31,16000,"MaxWater",2000,7,"Above Normal"
2000-08-31,11450.5262677806,"MaxWater",2000,8,"Above Normal"
2000-09-30,6251.68186584565,"MaxWater",2000,9,"Above Normal"
2000-10-31,4471.11750165569,"MaxWater",2000,10,"Above Normal"
2000-11-30,5629.5391642479,"MaxWater",2000,11,"Above Normal"
2003-04-30,10351.1722675083,"MaxWater",2003,4,"Above Normal"
2003-05-31,12441.4889254323,"MaxWater",2003,5,"Above Normal"
2003-06-30,8736.01674699092,"MaxWater",2003,6,"Above Normal"
2003-07-31,16000,"MaxWater",2003,7,"Above Normal"
2003-08-31,9053.818213112,"MaxWater",2003,8,"Above Normal"
2003-09-30,6224.68022947432,"MaxWater",2003,9,"Above Normal"
2003-10-31,7626.99046490402,"MaxWater",2003,10,"Above Normal"
2003-11-30,4855.90481282962,"MaxWater",2003,11,"Above Normal"
1922-04-30,7410.47061104537,"MaxWater_noSMSCG",1922,4,"Above Normal"
1922-05-31,8770.79017615538,"MaxWater_noSMSCG",1922,5,"Above Normal"
1922-06-30,10557.3804505784,"MaxWater_noSMSCG",1922,6,"Above Normal"
1922-07-31,12795.8919563439,"MaxWater_noSMSCG",1922,7,"Above Normal"
1922-08-31,9176.43197472638,"MaxWater_noSMSCG",1922,8,"Above Normal"
1922-09-30,7208.8006435726,"MaxWater_noSMSCG",1922,9,"Above Normal"
1922-10-31,6604.43904003229,"MaxWater_noSMSCG",1922,10,"Above Normal"
1922-11-30,4109.02222237177,"MaxWater_noSMSCG",1922,11,"Above Normal"
1928-04-30,5876.80669434022,"MaxWater_noSMSCG",1928,4,"Above Normal"
