"Date","SAC_Keswick_CFS","scenario","year","month","WY_type"
1928-10-31,13094.7588195808,"MaxDS_Even",1928,10,"Above Normal"
1928-11-30,5391.77691070374,"MaxDS_Even",1928,11,"Above Normal"
1953-04-30,5770.8333335,"MaxDS_Even",1953,4,"Above Normal"
1953-05-31,7462.61610495372,"MaxDS_Even",1953,5,"Above Normal"
1953-06-30,9997.77242134188,"MaxDS_Even",1953,6,"Above Normal"
1953-07-31,21355.2207111841,"MaxDS_Even",1953,7,"Above Normal"
1953-08-31,18185.9095265133,"MaxDS_Even",1953,8,"Above Normal"
1953-09-30,8327.19642529473,"MaxDS_Even",1953,9,"Above Normal"
1953-10-31,11403.4192246203,"MaxDS_Even",1953,10,"Above Normal"
1953-11-30,5620.47514357445,"MaxDS_Even",1953,11,"Above Normal"
1954-04-30,8951.55561682709,"MaxDS_Even",1954,4,"Above Normal"
1954-05-31,7472.75686746343,"MaxDS_Even",1954,5,"Above Normal"
1954-06-30,16000,"MaxDS_Even",1954,6,"Above Normal"
1954-07-31,24819.7934402164,"MaxDS_Even",1954,7,"Above Normal"
1954-08-31,18810.3146116297,"MaxDS_Even",1954,8,"Above Normal"
1954-09-30,7839.30114203501,"MaxDS_Even",1954,9,"Above Normal"
1954-10-31,12656.4752378487,"MaxDS_Even",1954,10,"Above Normal"
1954-11-30,4400.24677716687,"MaxDS_Even",1954,11,"Above Normal"
1973-04-30,3250,"MaxDS_Even",1973,4,"Above Normal"
1973-05-31,5465.33916121832,"MaxDS_Even",1973,5,"Above Normal"
1973-06-30,15955.5166693506,"MaxDS_Even",1973,6,"Above Normal"
1973-07-31,21401.0168454664,"MaxDS_Even",1973,7,"Above Normal"
1973-08-31,16702.0210381423,"MaxDS_Even",1973,8,"Above Normal"
1973-09-30,7179.12985125725,"MaxDS_Even",1973,9,"Above Normal"
1973-10-31,7578.95079401803,"MaxDS_Even",1973,10,"Above Normal"
1973-11-30,3250,"MaxDS_Even",1973,11,"Above Normal"
1978-04-30,3155.49598750827,"MaxDS_Even",1978,4,"Above Normal"
1978-05-31,8334.91086185521,"MaxDS_Even",1978,5,"Above Normal"
1978-06-30,7346.77661230108,"MaxDS_Even",1978,6,"Above Normal"
1978-07-31,17744.5869098257,"MaxDS_Even",1978,7,"Above Normal"
1978-08-31,16104.7371419848,"MaxDS_Even",1978,8,"Above Normal"
1978-09-30,5183.82746029629,"MaxDS_Even",1978,9,"Above Normal"
1978-10-31,12076.2292043031,"MaxDS_Even",1978,10,"Above Normal"
1978-11-30,6545.64945018519,"MaxDS_Even",1978,11,"Above Normal"
1993-04-30,3159.41653465744,"MaxDS_Even",1993,4,"Above Normal"
1993-05-31,6858.57365766501,"MaxDS_Even",1993,5,"Above Normal"
1993-06-30,10113.4613659621,"MaxDS_Even",1993,6,"Above Normal"
1993-07-31,19702.0423884509,"MaxDS_Even",1993,7,"Above Normal"
1993-08-31,16435.8593189613,"MaxDS_Even",1993,8,"Above Normal"
1993-09-30,8809.23657284904,"MaxDS_Even",1993,9,"Above Normal"
1993-10-31,10016.4929593379,"MaxDS_Even",1993,10,"Above Normal"
1993-11-30,7293.74538124571,"MaxDS_Even",1993,11,"Above Normal"
2000-04-30,3768.08909434253,"MaxDS_Even",2000,4,"Above Normal"
2000-05-31,8099.9529086454,"MaxDS_Even",2000,5,"Above Normal"
2000-06-30,16248.9153658898,"MaxDS_Even",2000,6,"Above Normal"
2000-07-31,22722.6909677294,"MaxDS_Even",2000,7,"Above Normal"
2000-08-31,19692.600539217,"MaxDS_Even",2000,8,"Above Normal"
2000-09-30,7605.34871501028,"MaxDS_Even",2000,9,"Above Normal"
2000-10-31,7191.86954307955,"MaxDS_Even",2000,10,"Above Normal"
2000-11-30,5728.99069313823,"MaxDS_Even",2000,11,"Above Normal"
2003-04-30,10676.1763336586,"MaxDS_Even",2003,4,"Above Normal"
2003-05-31,13400.4381331247,"MaxDS_Even",2003,5,"Above Normal"
2003-06-30,14648.5890222913,"MaxDS_Even",2003,6,"Above Normal"
2003-07-31,21523.799035318,"MaxDS_Even",2003,7,"Above Normal"
2003-08-31,18861.7149557381,"MaxDS_Even",2003,8,"Above Normal"
2003-09-30,7605.41014756514,"MaxDS_Even",2003,9,"Above Normal"
2003-10-31,12946.4108371826,"MaxDS_Even",2003,10,"Above Normal"
2003-11-30,5796.37261900483,"MaxDS_Even",2003,11,"Above Normal"
1922-04-30,5770.8333335,"MaxDS_Hist",1922,4,"Above Normal"
1922-05-31,5404.13355482556,"MaxDS_Hist",1922,5,"Above Normal"
1922-06-30,9371.70503076337,"MaxDS_Hist",1922,6,"Above Normal"
1922-07-31,16612.440260266,"MaxDS_Hist",1922,7,"Above Normal"
1922-08-31,10352.3469542602,"MaxDS_Hist",1922,8,"Above Normal"
1922-09-30,11950.3119235642,"MaxDS_Hist",1922,9,"Above Normal"
1922-10-31,7959.08192509546,"MaxDS_Hist",1922,10,"Above Normal"
1922-11-30,4692.07609392884,"MaxDS_Hist",1922,11,"Above Normal"
1928-04-30,4513.30580569028,"MaxDS_Hist",1928,4,"Above Normal"
1928-05-31,8818.31546161342,"MaxDS_Hist",1928,5,"Above Normal"
1928-06-30,23213.2661306587,"MaxDS_Hist",1928,6,"Above Normal"
1928-07-31,24135.9693736384,"MaxDS_Hist",1928,7,"Above Normal"
1928-08-31,16000,"MaxDS_Hist",1928,8,"Above Normal"
1928-09-30,12525.9580604055,"MaxDS_Hist",1928,9,"Above Normal"
1928-10-31,11293.2705574192,"MaxDS_Hist",1928,10,"Above Normal"
1928-11-30,5482.91216233528,"MaxDS_Hist",1928,11,"Above Normal"
1953-04-30,5770.8333335,"MaxDS_Hist",1953,4,"Above Normal"
1953-05-31,7462.41138322335,"MaxDS_Hist",1953,5,"Above Normal"
1953-06-30,16000,"MaxDS_Hist",1953,6,"Above Normal"
1953-07-31,19675.5440697308,"MaxDS_Hist",1953,7,"Above Normal"
1953-08-31,13573.6884006795,"MaxDS_Hist",1953,8,"Above Normal"
1953-09-30,11744.110325504,"MaxDS_Hist",1953,9,"Above Normal"
1953-10-31,9803.789736991,"MaxDS_Hist",1953,10,"Above Normal"
1953-11-30,5978.66259892251,"MaxDS_Hist",1953,11,"Above Normal"
1954-04-30,8951.55561682709,"MaxDS_Hist",1954,4,"Above Normal"
1954-05-31,7472.75686746343,"MaxDS_Hist",1954,5,"Above Normal"
1954-06-30,21625.7730703764,"MaxDS_Hist",1954,6,"Above Normal"
1954-07-31,24659.7977370122,"MaxDS_Hist",1954,7,"Above Normal"
1954-08-31,16000,"MaxDS_Hist",1954,8,"Above Normal"
1954-09-30,11107.7981691366,"MaxDS_Hist",1954,9,"Above Normal"
1954-10-31,11026.4752291296,"MaxDS_Hist",1954,10,"Above Normal"
1954-11-30,4204.56884256513,"MaxDS_Hist",1954,11,"Above Normal"
1973-04-30,3250,"MaxDS_Hist",1973,4,"Above Normal"
1973-05-31,5534.37366960489,"MaxDS_Hist",1973,5,"Above Normal"
1973-06-30,19477.3087863184,"MaxDS_Hist",1973,6,"Above Normal"
1973-07-31,23257.5671750752,"MaxDS_Hist",1973,7,"Above Normal"
1973-08-31,15722.5148797662,"MaxDS_Hist",1973,8,"Above Normal"
1973-09-30,8612.90610338778,"MaxDS_Hist",1973,9,"Above Normal"
1973-10-31,5572.2627830585,"MaxDS_Hist",1973,10,"Above Normal"
1973-11-30,3250,"MaxDS_Hist",1973,11,"Above Normal"
1978-04-30,3157.98071445095,"MaxDS_Hist",1978,4,"Above Normal"
1978-05-31,8334.91086185519,"MaxDS_Hist",1978,5,"Above Normal"
1978-06-30,13627.010738256,"MaxDS_Hist",1978,6,"Above Normal"
1978-07-31,16016.9672962845,"MaxDS_Hist",1978,7,"Above Normal"
1978-08-31,10590.3297292552,"MaxDS_Hist",1978,8,"Above Normal"
1978-09-30,7186.08809400723,"MaxDS_Hist",1978,9,"Above Normal"
1978-10-31,10761.66888476,"MaxDS_Hist",1978,10,"Above Normal"
1978-11-30,7317.21057055092,"MaxDS_Hist",1978,11,"Above Normal"
1993-04-30,3159.41668052736,"MaxDS_Hist",1993,4,"Above Normal"
1993-05-31,6858.57365766497,"MaxDS_Hist",1993,5,"Above Normal"
1993-06-30,13942.5889831916,"MaxDS_Hist",1993,6,"Above Normal"
