"month","region","year","sal_June","sal_MaxDS_Even","sal_MaxDS_Hist","sal_MaxWater","sal_MaxWater_noSMSCG","sal_StatusQuo","sal_Summer_Even","sal_Summer_Even_AltSMSCG","sal_Summer_Hist","sal_SummerFall_Even","sal_SummerFall_Hist"
1,"Confluence",1922,1.34486293975729,1.62047428987587,1.62047428987587,1.34486293975729,1.57298589810216,1.57298589810216,1.34486293975729,1.34486293975729,1.34486293975729,1.57298589810216,1.57298589810216
1,"Confluence",1923,0.308413516001978,0.319029567195897,0.318370071533464,0.308044581803631,0.309229742804029,0.309512017819608,0.312249964076587,0.312027836130765,0.308687680789114,0.313166192199957,0.309229742804029
1,"Confluence",1924,8.50005809387384,7.72085504171759,5.85024755805651,8.40058764674726,6.51597344716296,6.42041015585594,5.49417877890453,6.2721786879286,8.41257128252587,6.58909246368453,6.51597344716296
1,"Confluence",1925,5.68012341847196,5.68147308513791,5.67089086177157,5.67945849853537,6.23046594046883,5.98513566774784,5.71634320657401,5.67877411396986,5.65018195727366,6.04496314399879,6.23046594046883
1,"Confluence",1926,3.23829028207342,3.24790163236073,3.25581865806072,3.23982115126344,3.24081640530452,3.24871871441962,3.23840365121735,3.24195132124251,3.2390190162103,3.24527874450379,3.24081640530452
1,"Confluence",1927,0.48788615054206,0.434129690131466,0.423525575114408,0.483388562893715,0.417529603790351,0.486524330551729,0.477666725551194,0.477953307079958,0.48636993915183,0.472648957251409,0.417529603790351
1,"Confluence",1928,1.96348472564236,1.88213333988373,1.80665828372137,1.97537272863799,1.68294769311271,1.63110867779177,1.37894387481973,1.37917698237279,1.82202438210506,1.77880228850855,1.68294769311271
1,"Confluence",1929,7.08294904425283,5.39983501980729,4.4509715729027,5.92575976462791,9.57479605472459,6.95776170670211,6.55697022852728,7.45132660837995,6.95125911672984,3.41264052915612,9.57479605472459
1,"Confluence",1930,1.18690406914514,1.2403029326983,1.26067697772318,1.16952381082548,1.21649028278466,1.17554819533012,1.18302606428872,1.18298841333129,1.21509969222888,1.21345016758348,1.21649028278466
1,"Confluence",1931,6.02999299011008,4.69641811666568,6.24591774567538,5.99847210884457,7.7607314577318,7.82399941656588,4.86109650097153,4.89490262867189,5.99209053716265,7.05245543916185,7.7607314577318
1,"Confluence",1932,1.01313301363409,1.25789200693451,1.27905575168343,1.04472124168572,1.16671390349396,1.15071530445693,1.15731341023854,1.16925621350216,1.14702872759173,1.16879142139239,1.16671390349396
1,"Confluence",1933,9.18125439138078,9.52811499239258,9.63050296377646,9.33733066247311,9.07055929471433,9.26074910927269,9.12083483023306,9.12479570597291,9.23378354895185,9.14531974502646,9.07055929471433
1,"Confluence",1934,3.07248949292578,3.82620803221808,3.96624320083013,3.06257699889171,3.08973374543235,3.24094277102741,3.23747621977413,3.23745046215652,3.07348200114822,3.08788429899866,3.08973374543235
1,"Confluence",1935,0.720046089184016,0.768765499590639,0.758580723529906,0.720184682163671,0.721418308598182,0.720198712378801,0.720065185946151,0.720105747589855,0.719952811655944,0.711564173474637,0.721418308598182
1,"Confluence",1936,0.374339305120966,0.374055168053861,0.373464482602293,0.374735852092278,0.372888054404424,0.374550658586951,0.373525371653499,0.375072685035506,0.374120917760981,0.373796667290335,0.372888054404424
1,"Confluence",1937,7.08310702439406,7.09509746044042,7.10179660346209,7.0891081817713,7.11117222236973,7.09369568639673,7.10388446553204,7.00151831392752,7.09086043124019,7.11052492156499,7.11117222236973
1,"Confluence",1938,0.308993518464896,0.309744960342216,0.309662938702685,0.309246784820783,0.309300347247755,0.311048839358977,0.309273432335642,0.311067205866963,0.311034892564656,0.309624213385115,0.309300347247755
1,"Confluence",1939,7.7727991549551,7.7936751237626,7.321121473775,7.77370368736144,7.44068586906588,9.3505929825264,8.79458179993894,8.79447795953347,10.5543327599438,9.28137020235673,7.44068586906588
