"month","region","year","sal_AltStatusQuo"
1,"Confluence",1922,1.57298589810216
1,"Confluence",1923,0.309512017819608
1,"Confluence",1924,6.42041015585594
1,"Confluence",1925,5.98513566774784
1,"Confluence",1926,3.24871871441962
1,"Confluence",1927,0.486524330551729
1,"Confluence",1928,1.63110867779177
1,"Confluence",1929,6.95776170670211
1,"Confluence",1930,1.17554819533012
1,"Confluence",1931,7.82399941656588
1,"Confluence",1932,1.15071530445693
1,"Confluence",1933,9.26074910927269
1,"Confluence",1934,3.24094277102741
1,"Confluence",1935,0.720198712378801
1,"Confluence",1936,0.374550658586951
1,"Confluence",1937,7.09369568639673
1,"Confluence",1938,0.311048839358977
1,"Confluence",1939,9.3505929825264
1,"Confluence",1940,0.422978142009462
1,"Confluence",1941,0.170537134413281
1,"Confluence",1942,0.174173919035062
1,"Confluence",1943,0.181836890078394
1,"Confluence",1944,4.89946288454672
1,"Confluence",1945,3.22329384174097
1,"Confluence",1946,0.203171427961709
1,"Confluence",1947,9.65000605516358
1,"Confluence",1948,6.49249335575687
1,"Confluence",1949,8.19519140181796
1,"Confluence",1950,1.53802037771352
1,"Confluence",1951,0.174477660416758
1,"Confluence",1952,0.176159165917198
1,"Confluence",1953,0.170267234683031
1,"Confluence",1954,0.657551883811523
1,"Confluence",1955,0.778403666908617
1,"Confluence",1956,0.158840891639927
1,"Confluence",1957,7.46791042964442
1,"Confluence",1958,0.276604622302327
1,"Confluence",1959,1.03250885017264
1,"Confluence",1960,7.61868698659719
1,"Confluence",1961,6.92913843827317
1,"Confluence",1962,9.30741856123352
1,"Confluence",1963,0.944098234231421
1,"Confluence",1964,1.88749392461922
1,"Confluence",1965,0.163963263218364
1,"Confluence",1966,0.890722704413681
1,"Confluence",1967,0.211499648296902
1,"Confluence",1968,0.984390519092115
1,"Confluence",1969,0.166444829811418
1,"Confluence",1970,0.151001010323012
1,"Confluence",1971,0.207386272051202
1,"Confluence",1972,3.34312644484458
1,"Confluence",1973,0.180448527267385
1,"Confluence",1974,0.159128274601273
1,"Confluence",1975,7.21058097772597
1,"Confluence",1976,13.3246053211246
1,"Confluence",1977,24.9788716562248
1,"Confluence",1978,0.21004874513077
1,"Confluence",1979,1.26635253842133
1,"Confluence",1980,0.1836545110791
1,"Confluence",1981,1.23659351111261
1,"Confluence",1982,0.170107979519729
1,"Confluence",1983,0.164086661094053
1,"Confluence",1984,0.187167730293644
1,"Confluence",1985,1.55040396958631
1,"Confluence",1986,0.576774186385803
1,"Confluence",1987,5.6769365135977
1,"Confluence",1988,0.59782438068975
1,"Confluence",1989,6.36084705180513
1,"Confluence",1990,3.89561117013532
1,"Confluence",1991,7.77900800990612
1,"Confluence",1992,6.98742537016559
1,"Confluence",1993,0.225998849934441
1,"Confluence",1994,5.98367319094214
1,"Confluence",1995,0.177893116466019
1,"Confluence",1996,0.236264001723602
1,"Confluence",1997,0.142905461156896
1,"Confluence",1998,0.187382904231706
1,"Confluence",1999,0.265802275956343
1,"Confluence",2000,0.60022760650879
1,"Confluence",2001,3.55356807735219
1,"Confluence",2002,0.227453923714941
1,"Confluence",2003,0.196763622123597
1,"Confluence",2004,0.300365603812441
1,"Confluence",2005,0.272321717178277
1,"Confluence",2006,0.164486525608299
1,"Confluence",2007,4.4436507848329
1,"Confluence",2008,0.653426440023897
1,"Confluence",2009,11.3930836502931
1,"Confluence",2010,0.566487001387807
1,"Confluence",2011,0.274796628354505
1,"Confluence",2012,5.39529348037205
1,"Confluence",2013,0.441410194519257
1,"Confluence",2014,14.1087416011647
1,"Confluence",2015,1.45788847462128
1,"Confluence",2016,0.378355322208566
1,"Confluence",2017,0.161496268770519
1,"Confluence",2018,1.08495805146363
1,"Confluence",2019,0.337293540371926
1,"Confluence",2020,1.1646759813511
1,"Confluence",2021,8.11021946415441
1,"NE Suisun",1922,4.36654796088749
1,"NE Suisun",1923,0.712829738559791
1,"NE Suisun",1924,11.9126978190912
1,"NE Suisun",1925,11.406567464277
1,"NE Suisun",1926,7.61330280339422
1,"NE Suisun",1927,1.33716522994761
1,"NE Suisun",1928,4.50053234908353
1,"NE Suisun",1929,12.5111199752548
1,"NE Suisun",1930,3.38818293180024
1,"NE Suisun",1931,13.421847362619
1,"NE Suisun",1932,3.32298308806418
1,"NE Suisun",1933,14.8097067963722
1,"NE Suisun",1934,7.60046103417011
1,"NE Suisun",1935,2.09616813952296
1,"NE Suisun",1936,0.946599346497147
1,"NE Suisun",1937,12.6582389725755
1,"NE Suisun",1938,0.718395838825182
1,"NE Suisun",1939,14.8920842285036
1,"NE Suisun",1940,1.11757774838717
1,"NE Suisun",1941,0.212924975870651
1,"NE Suisun",1942,0.225542108156645
1,"NE Suisun",1943,0.252293527306598
1,"NE Suisun",1944,10.0458921879273
1,"NE Suisun",1945,7.57125569640111
1,"NE Suisun",1946,0.327783684011966
1,"NE Suisun",1947,15.1632297967578
1,"NE Suisun",1948,11.9946040560982
1,"NE Suisun",1949,13.793980585396
1,"NE Suisun",1950,4.28492502710085
1,"NE Suisun",1951,0.226598246043609
1,"NE Suisun",1952,0.232451461256685
1,"NE Suisun",1953,0.211990723287116
1,"NE Suisun",1954,1.89996325807194
1,"NE Suisun",1955,2.27399771931834
1,"NE Suisun",1956,0.172715354790149
1,"NE Suisun",1957,13.0549732743288
1,"NE Suisun",1958,0.593364142163651
1,"NE Suisun",1959,3.0050540625816
1,"NE Suisun",1960,13.2115408018889
1,"NE Suisun",1961,12.4799298579851
1,"NE Suisun",1962,14.852557380555
1,"NE Suisun",1963,2.75852056849746
1,"NE Suisun",1964,5.06817140157393
1,"NE Suisun",1965,0.190254954790523
1,"NE Suisun",1966,2.6057764006171
1,"NE Suisun",1967,0.357573008088095
1,"NE Suisun",1968,2.87184914198418
1,"NE Suisun",1969,0.198791584609479
1,"NE Suisun",1970,0.146073946781091
1,"NE Suisun",1971,0.342841148143222
1,"NE Suisun",1972,7.76797523834321
1,"NE Suisun",1973,0.247430730469353
1,"NE Suisun",1974,0.173696502418305
1,"NE Suisun",1975,12.7834393493248
1,"NE Suisun",1976,18.1395866024327
1,"NE Suisun",1977,25.0601503718895
1,"NE Suisun",1978,0.352372724723813
1,"NE Suisun",1979,3.62218742412605
1,"NE Suisun",1980,0.258670056299434
1,"NE Suisun",1981,3.54624246997393
